SET
Pager usage is off.
CREATE VIEW
--- MANIFEST ROW COUNT ---
 function_rows 
---------------
            78

--- AGGREGATE MANIFEST HASH (md5 over sorted per-row text) ---
      manifest_aggregate_md5      
----------------------------------
 52696023ca621b4a8842f22febd58851

--- MANIFEST ROWS (deterministic order) ---
Output format is csv.
schema_name,function_name,identity_args,owner,language,prokind,security_definer,volatility,is_strict,parallel,leakproof,returns_set,proconfig_sorted,acl_expanded_sorted,nargs,nargdefaults,full_args,result_type,argmodes,allargtypes,argtypes,rettype,prosrc_md5,prosrc_len,probin_md5,functiondef_md5
public,set_limit,real,supabase_admin,c,f,f,v,t,u,f,f,,"supabase_admin>PUBLIC:EXECUTE:false,supabase_admin>anon:EXECUTE:false,supabase_admin>authenticated:EXECUTE:false,supabase_admin>postgres:EXECUTE:false,supabase_admin>service_role:EXECUTE:false,supabase_admin>supabase_admin:EXECUTE:false",1,0,real,real,,,700,real,79156a0336c67021d9428bff7da30542,9,5987d19cf03fe8483c6d7e0bb11ba2ba,c30ba59e63bc3cb36608046c50620e39
public,show_limit,,supabase_admin,c,f,f,s,t,s,f,f,,"supabase_admin>PUBLIC:EXECUTE:false,supabase_admin>anon:EXECUTE:false,supabase_admin>authenticated:EXECUTE:false,supabase_admin>postgres:EXECUTE:false,supabase_admin>service_role:EXECUTE:false,supabase_admin>supabase_admin:EXECUTE:false",0,0,,real,,,,real,3ab6c68b603f0310182efe3695d82a92,10,5987d19cf03fe8483c6d7e0bb11ba2ba,4be49f417a851b1848da525e573e408d
public,show_trgm,text,supabase_admin,c,f,f,i,t,s,f,f,,"supabase_admin>PUBLIC:EXECUTE:false,supabase_admin>anon:EXECUTE:false,supabase_admin>authenticated:EXECUTE:false,supabase_admin>postgres:EXECUTE:false,supabase_admin>service_role:EXECUTE:false,supabase_admin>supabase_admin:EXECUTE:false",1,0,text,text[],,,25,text[],bb20c15988887dca8023fcdec2e15705,9,5987d19cf03fe8483c6d7e0bb11ba2ba,42aa0974abb454971132812dcce06cac
public,similarity,"text, text",supabase_admin,c,f,f,i,t,s,f,f,,"supabase_admin>PUBLIC:EXECUTE:false,supabase_admin>anon:EXECUTE:false,supabase_admin>authenticated:EXECUTE:false,supabase_admin>postgres:EXECUTE:false,supabase_admin>service_role:EXECUTE:false,supabase_admin>supabase_admin:EXECUTE:false",2,0,"text, text",real,,,25 25,real,a65b94a37c1cfdf8414dc6e5180328ee,10,5987d19cf03fe8483c6d7e0bb11ba2ba,fd931cb85ba442355f277550b8836710
public,similarity_dist,"text, text",supabase_admin,c,f,f,i,t,s,f,f,,"supabase_admin>PUBLIC:EXECUTE:false,supabase_admin>anon:EXECUTE:false,supabase_admin>authenticated:EXECUTE:false,supabase_admin>postgres:EXECUTE:false,supabase_admin>service_role:EXECUTE:false,supabase_admin>supabase_admin:EXECUTE:false",2,0,"text, text",real,,,25 25,real,ace88dc523cc3a38ee252b232a6f3233,15,5987d19cf03fe8483c6d7e0bb11ba2ba,831e333ae2231e3fb1e6e88a55ccc0a0
public,similarity_op,"text, text",supabase_admin,c,f,f,s,t,s,f,f,,"supabase_admin>PUBLIC:EXECUTE:false,supabase_admin>anon:EXECUTE:false,supabase_admin>authenticated:EXECUTE:false,supabase_admin>postgres:EXECUTE:false,supabase_admin>service_role:EXECUTE:false,supabase_admin>supabase_admin:EXECUTE:false",2,0,"text, text",boolean,,,25 25,boolean,4317659571d5d65d8c2c051c25c0cecd,13,5987d19cf03fe8483c6d7e0bb11ba2ba,c62f80a7a7107d232daf8683decbfaf5
public,song_requests_identity_immutable,,postgres,plpgsql,f,f,v,f,u,f,f,"search_path=""""","postgres>PUBLIC:EXECUTE:false,postgres>anon:EXECUTE:false,postgres>authenticated:EXECUTE:false,postgres>postgres:EXECUTE:false,postgres>service_role:EXECUTE:false",0,0,,trigger,,,,trigger,bfd5820d2c20255f023bf059febba203,477,d41d8cd98f00b204e9800998ecf8427e,d182c9f9989947cc7366679761b02fb3
public,strict_word_similarity,"text, text",supabase_admin,c,f,f,i,t,s,f,f,,"supabase_admin>PUBLIC:EXECUTE:false,supabase_admin>anon:EXECUTE:false,supabase_admin>authenticated:EXECUTE:false,supabase_admin>postgres:EXECUTE:false,supabase_admin>service_role:EXECUTE:false,supabase_admin>supabase_admin:EXECUTE:false",2,0,"text, text",real,,,25 25,real,658697160f2064b47734aebdbd38425f,22,5987d19cf03fe8483c6d7e0bb11ba2ba,523450d477b4e105989795603c58761a
public,strict_word_similarity_commutator_op,"text, text",supabase_admin,c,f,f,s,t,s,f,f,,"supabase_admin>PUBLIC:EXECUTE:false,supabase_admin>anon:EXECUTE:false,supabase_admin>authenticated:EXECUTE:false,supabase_admin>postgres:EXECUTE:false,supabase_admin>service_role:EXECUTE:false,supabase_admin>supabase_admin:EXECUTE:false",2,0,"text, text",boolean,,,25 25,boolean,d06f5838b6234053cb93ddd82002f172,36,5987d19cf03fe8483c6d7e0bb11ba2ba,49fe0d7b5f628c2f13e21ad6d0c5d28f
public,strict_word_similarity_dist_commutator_op,"text, text",supabase_admin,c,f,f,i,t,s,f,f,,"supabase_admin>PUBLIC:EXECUTE:false,supabase_admin>anon:EXECUTE:false,supabase_admin>authenticated:EXECUTE:false,supabase_admin>postgres:EXECUTE:false,supabase_admin>service_role:EXECUTE:false,supabase_admin>supabase_admin:EXECUTE:false",2,0,"text, text",real,,,25 25,real,21d307ff0ca968d7cb12e9ecdf15ed5e,41,5987d19cf03fe8483c6d7e0bb11ba2ba,e4384ee3a07267eb13f09bb4b042f334
public,strict_word_similarity_dist_op,"text, text",supabase_admin,c,f,f,i,t,s,f,f,,"supabase_admin>PUBLIC:EXECUTE:false,supabase_admin>anon:EXECUTE:false,supabase_admin>authenticated:EXECUTE:false,supabase_admin>postgres:EXECUTE:false,supabase_admin>service_role:EXECUTE:false,supabase_admin>supabase_admin:EXECUTE:false",2,0,"text, text",real,,,25 25,real,4a6a81f56250df9a7e29bb72de12835f,30,5987d19cf03fe8483c6d7e0bb11ba2ba,bc660db5cc387e8821747f1ecfb347eb
public,strict_word_similarity_op,"text, text",supabase_admin,c,f,f,s,t,s,f,f,,"supabase_admin>PUBLIC:EXECUTE:false,supabase_admin>anon:EXECUTE:false,supabase_admin>authenticated:EXECUTE:false,supabase_admin>postgres:EXECUTE:false,supabase_admin>service_role:EXECUTE:false,supabase_admin>supabase_admin:EXECUTE:false",2,0,"text, text",boolean,,,25 25,boolean,04fed7fd0767165a07b85c5ec4fd59a1,25,5987d19cf03fe8483c6d7e0bb11ba2ba,fa21d1ae2c217ba161bb3f7777e5e020
public,sync_event_active,,postgres,plpgsql,f,t,v,f,u,f,f,search_path=public,"postgres>postgres:EXECUTE:false,postgres>service_role:EXECUTE:false",0,0,,trigger,,,,trigger,6d5973b954f94d22598d9ff9c0d99a8c,209,d41d8cd98f00b204e9800998ecf8427e,88a1108d58905a5e17197bf4de17aa80
public,sync_vote_counts,,postgres,plpgsql,f,t,v,f,u,f,f,search_path=public,"postgres>postgres:EXECUTE:false,postgres>service_role:EXECUTE:false",0,0,,trigger,,,,trigger,6229f8532cf33be903461f7a5178e36f,398,d41d8cd98f00b204e9800998ecf8427e,5766452a190e31445759afcbc082dbe7
public,tip_pending_is_live,"_status text, _checkout_expires_at timestamp with time zone, _created_at timestamp with time zone",postgres,sql,f,f,i,f,u,f,f,"search_path=public, pg_temp","postgres>PUBLIC:EXECUTE:false,postgres>anon:EXECUTE:false,postgres>authenticated:EXECUTE:false,postgres>postgres:EXECUTE:false,postgres>service_role:EXECUTE:false",3,0,"_status text, _checkout_expires_at timestamp with time zone, _created_at timestamp with time zone",boolean,,,25 1184 1184,boolean,0df787d0520ca1845ab16f7199fb623c,114,d41d8cd98f00b204e9800998ecf8427e,57650b1f85826c20fe3565d5b1b83743
public,tip_reconciliation_preview,,postgres,sql,f,t,s,f,u,f,t,search_path=public,"postgres>postgres:EXECUTE:false,postgres>service_role:EXECUTE:false",0,0,,"TABLE(bucket text, tip_count bigint, total_cents bigint, oldest timestamp with time zone, newest timestamp with time zone)","{t,t,t,t,t}","{25,20,20,1184,1184}",,record,8d30faf28b9acfb6a53b1b5e572b3fe7,328,d41d8cd98f00b204e9800998ecf8427e,7654da99f545e638efe0c6ba5d40c690
public,update_my_profile,"_nickname text, _is_public boolean",postgres,plpgsql,f,t,v,f,u,f,f,"search_path=""""","postgres>authenticated:EXECUTE:false,postgres>postgres:EXECUTE:false,postgres>service_role:EXECUTE:false",2,2,"_nickname text DEFAULT NULL::text, _is_public boolean DEFAULT NULL::boolean",jsonb,,,25 16,jsonb,67755a2c74cf29f06c4abacdcd3f015e,932,d41d8cd98f00b204e9800998ecf8427e,68f9dd97e491952e57096e1dbb724706
public,update_updated_at_column,,postgres,plpgsql,f,f,v,f,u,f,f,search_path=public,"postgres>PUBLIC:EXECUTE:false,postgres>anon:EXECUTE:false,postgres>authenticated:EXECUTE:false,postgres>postgres:EXECUTE:false,postgres>service_role:EXECUTE:false",0,0,,trigger,,,,trigger,301a884953d37769916294bb60562e05,52,d41d8cd98f00b204e9800998ecf8427e,3210625d1c794f6db7b3c3defc5984dd
public,upgrade_anonymous_profile,p_nickname text,postgres,plpgsql,f,t,v,f,u,f,f,search_path=public,"postgres>PUBLIC:EXECUTE:false,postgres>anon:EXECUTE:false,postgres>authenticated:EXECUTE:false,postgres>postgres:EXECUTE:false,postgres>service_role:EXECUTE:false",1,1,p_nickname text DEFAULT NULL::text,jsonb,,,25,jsonb,7a90ac7642218e75decd956531200c56,1267,d41d8cd98f00b204e9800998ecf8427e,24f7a038e53d1891bdd806fc1cd0d149
public,word_similarity,"text, text",supabase_admin,c,f,f,i,t,s,f,f,,"supabase_admin>PUBLIC:EXECUTE:false,supabase_admin>anon:EXECUTE:false,supabase_admin>authenticated:EXECUTE:false,supabase_admin>postgres:EXECUTE:false,supabase_admin>service_role:EXECUTE:false,supabase_admin>supabase_admin:EXECUTE:false",2,0,"text, text",real,,,25 25,real,b9d296bc7ed64b19e32192351e9b284f,15,5987d19cf03fe8483c6d7e0bb11ba2ba,f9acfb3b071c96db4b1bb593b621c747
public,word_similarity_commutator_op,"text, text",supabase_admin,c,f,f,s,t,s,f,f,,"supabase_admin>PUBLIC:EXECUTE:false,supabase_admin>anon:EXECUTE:false,supabase_admin>authenticated:EXECUTE:false,supabase_admin>postgres:EXECUTE:false,supabase_admin>service_role:EXECUTE:false,supabase_admin>supabase_admin:EXECUTE:false",2,0,"text, text",boolean,,,25 25,boolean,02611902707b5de0d52c0f6a91da6218,29,5987d19cf03fe8483c6d7e0bb11ba2ba,98ece0ccacd71230bea0e7805d310670
public,word_similarity_dist_commutator_op,"text, text",supabase_admin,c,f,f,i,t,s,f,f,,"supabase_admin>PUBLIC:EXECUTE:false,supabase_admin>anon:EXECUTE:false,supabase_admin>authenticated:EXECUTE:false,supabase_admin>postgres:EXECUTE:false,supabase_admin>service_role:EXECUTE:false,supabase_admin>supabase_admin:EXECUTE:false",2,0,"text, text",real,,,25 25,real,d3dad69b1ecbf95b0cd4ad9d0b898eca,34,5987d19cf03fe8483c6d7e0bb11ba2ba,db36854b61d077b4cb945606bab01fc6
public,word_similarity_dist_op,"text, text",supabase_admin,c,f,f,i,t,s,f,f,,"supabase_admin>PUBLIC:EXECUTE:false,supabase_admin>anon:EXECUTE:false,supabase_admin>authenticated:EXECUTE:false,supabase_admin>postgres:EXECUTE:false,supabase_admin>service_role:EXECUTE:false,supabase_admin>supabase_admin:EXECUTE:false",2,0,"text, text",real,,,25 25,real,ba8863f446eceb450a04b6c324db7419,23,5987d19cf03fe8483c6d7e0bb11ba2ba,ab0c2cb7ec6c0cbe0937ec3288d2cfda
public,word_similarity_op,"text, text",supabase_admin,c,f,f,s,t,s,f,f,,"supabase_admin>PUBLIC:EXECUTE:false,supabase_admin>anon:EXECUTE:false,supabase_admin>authenticated:EXECUTE:false,supabase_admin>postgres:EXECUTE:false,supabase_admin>service_role:EXECUTE:false,supabase_admin>supabase_admin:EXECUTE:false",2,0,"text, text",boolean,,,25 25,boolean,5412212962db1aa604d6b20bbcf89c75,18,5987d19cf03fe8483c6d7e0bb11ba2ba,9cb3bc9ce246a2c4c4d17c7205f4a17f
Output format is aligned.
