SET
Pager usage is off.
CREATE VIEW
--- MANIFEST ROW COUNT ---
 function_rows 
---------------
            78

--- AGGREGATE MANIFEST HASH (md5 over sorted per-row text) ---
      manifest_aggregate_md5      
----------------------------------
 52696023ca621b4a8842f22febd58851

--- MANIFEST ROWS (deterministic order) ---
Output format is csv.
schema_name,function_name,identity_args,owner,language,prokind,security_definer,volatility,is_strict,parallel,leakproof,returns_set,proconfig_sorted,acl_expanded_sorted,nargs,nargdefaults,full_args,result_type,argmodes,allargtypes,argtypes,rettype,prosrc_md5,prosrc_len,probin_md5,functiondef_md5
public,get_guest_event_count,,postgres,sql,f,t,s,f,u,f,f,search_path=public,"postgres>PUBLIC:EXECUTE:false,postgres>anon:EXECUTE:false,postgres>authenticated:EXECUTE:false,postgres>postgres:EXECUTE:false,postgres>service_role:EXECUTE:false",0,0,,integer,,,,integer,343ad6e1006b262c42dccfe8fdf1969c,115,d41d8cd98f00b204e9800998ecf8427e,a7ee89a95442a2b37849239c4eeae7f7
public,get_guest_join_limits,,postgres,sql,f,t,s,f,u,f,f,search_path=public,"postgres>PUBLIC:EXECUTE:false,postgres>anon:EXECUTE:false,postgres>authenticated:EXECUTE:false,postgres>postgres:EXECUTE:false,postgres>service_role:EXECUTE:false",0,0,,jsonb,,,,jsonb,4754ddf42cebc861699624c732bdf315,71,d41d8cd98f00b204e9800998ecf8427e,5265a4b2f1be6d5ccd1760679db33bdf
public,get_ingest_token,_event_id uuid,postgres,plpgsql,f,t,s,f,u,f,f,search_path=public,"postgres>PUBLIC:EXECUTE:false,postgres>anon:EXECUTE:false,postgres>authenticated:EXECUTE:false,postgres>postgres:EXECUTE:false,postgres>service_role:EXECUTE:false",1,0,_event_id uuid,text,,,2950,text,5e49c206bd4dca59753316a10e1a4989,721,d41d8cd98f00b204e9800998ecf8427e,6ea8ea0d35236e04e2080c3f2438a790
public,get_my_profile,,postgres,plpgsql,f,t,s,f,u,f,f,search_path=public,"postgres>PUBLIC:EXECUTE:false,postgres>anon:EXECUTE:false,postgres>authenticated:EXECUTE:false,postgres>postgres:EXECUTE:false,postgres>service_role:EXECUTE:false",0,0,,jsonb,,,,jsonb,e2d00ebefb38f7b92bf292cd4b12fefe,449,d41d8cd98f00b204e9800998ecf8427e,c73cccacf3ee591bcc084f2a0bf0fd47
public,get_nickname,_user_id uuid,postgres,sql,f,t,s,f,u,f,f,search_path=public,"postgres>anon:EXECUTE:false,postgres>authenticated:EXECUTE:false,postgres>postgres:EXECUTE:false,postgres>service_role:EXECUTE:false",1,0,_user_id uuid,text,,,2950,text,821e9820f306e255d34572e97ce375a0,60,d41d8cd98f00b204e9800998ecf8427e,6b999838afe6f5b4a0581eec545fe1f3
public,get_public_nicknames,_user_ids uuid[],postgres,plpgsql,f,t,s,f,u,f,t,"search_path=""""","postgres>anon:EXECUTE:false,postgres>authenticated:EXECUTE:false,postgres>postgres:EXECUTE:false,postgres>service_role:EXECUTE:false",1,0,_user_ids uuid[],"TABLE(id uuid, nickname text)","{i,t,t}","{2951,2950,25}",2951,record,e1ea961fc994a09976145fab03468e35,539,d41d8cd98f00b204e9800998ecf8427e,6ed642617dab133fc5d6c9234e623d54
public,get_public_profile,_user_id uuid,postgres,plpgsql,f,t,s,f,u,f,f,search_path=public,"postgres>PUBLIC:EXECUTE:false,postgres>anon:EXECUTE:false,postgres>authenticated:EXECUTE:false,postgres>postgres:EXECUTE:false,postgres>service_role:EXECUTE:false",1,0,_user_id uuid,jsonb,,,2950,jsonb,b2370cc59b2493a61130a29c03d21984,2146,d41d8cd98f00b204e9800998ecf8427e,11c2463730494943ac3138e553e46687
public,gin_extract_query_trgm,"text, internal, smallint, internal, internal, internal, internal",supabase_admin,c,f,f,i,t,s,f,f,,"supabase_admin>PUBLIC:EXECUTE:false,supabase_admin>anon:EXECUTE:false,supabase_admin>authenticated:EXECUTE:false,supabase_admin>postgres:EXECUTE:false,supabase_admin>service_role:EXECUTE:false,supabase_admin>supabase_admin:EXECUTE:false",7,0,"text, internal, smallint, internal, internal, internal, internal",internal,,,25 2281 21 2281 2281 2281 2281,internal,bcc3d1b35e67c79fdd7743051b5bb54e,22,5987d19cf03fe8483c6d7e0bb11ba2ba,908112f5743e0dc3307ce7da24a3d095
public,gin_extract_value_trgm,"text, internal",supabase_admin,c,f,f,i,t,s,f,f,,"supabase_admin>PUBLIC:EXECUTE:false,supabase_admin>anon:EXECUTE:false,supabase_admin>authenticated:EXECUTE:false,supabase_admin>postgres:EXECUTE:false,supabase_admin>service_role:EXECUTE:false,supabase_admin>supabase_admin:EXECUTE:false",2,0,"text, internal",internal,,,25 2281,internal,c75ed6efb95d6922885e652c3b1ae63f,22,5987d19cf03fe8483c6d7e0bb11ba2ba,42bc3d69fe7ae6ba4409315e68686e93
public,gin_trgm_consistent,"internal, smallint, text, integer, internal, internal, internal, internal",supabase_admin,c,f,f,i,t,s,f,f,,"supabase_admin>PUBLIC:EXECUTE:false,supabase_admin>anon:EXECUTE:false,supabase_admin>authenticated:EXECUTE:false,supabase_admin>postgres:EXECUTE:false,supabase_admin>service_role:EXECUTE:false,supabase_admin>supabase_admin:EXECUTE:false",8,0,"internal, smallint, text, integer, internal, internal, internal, internal",boolean,,,2281 21 25 23 2281 2281 2281 2281,boolean,1a51ef4f90da1f8206849b90da034f15,19,5987d19cf03fe8483c6d7e0bb11ba2ba,3b5516ee327d210cf276d0f7cbec6a1b
